size,kernel_creation,mem_management,gpu_computation,cpu_iterative,cpu_pythonic
128,0.22552533116605547,0.04263821947905752,0.0316302225821548,0.05168384975857205,0.00728501213921441e-06
256,0.20832640081644058,0.03904960192739963,0.028876800462603568,0.09424686431884766,0.006866455078125e-06
512,0.20380480140447615,0.04042239785194397,0.029593600332736968,0.19059181213378906,0.00705718994140625e-06
1024,0.2070560023188591,0.04236480481922626,0.029081600531935693,0.38020610809326173,0.007557868957519531e-06
2048,0.20671679973602294,0.04408639557659626,0.029286400601267814,0.7752180099487305,0.00762939453125e-06
4096,0.20994239896535874,0.04847359992563725,0.029286400601267814,1.5406370162963866,0.008153915405273438e-06
8192,0.21647040098905562,0.059203197434544566,0.02979840002954006,3.0642986297607423,0.009059906005859375e-06
16384,0.2253568008542061,0.07263679541647435,0.027648000046610832,6.434416770935059,0.011515617370605468e-05
32768,0.23452799767255783,0.09313280656933784,0.025788799673318864,13.010573387145997,0.015163421630859375e-05
65536,0.23593279868364334,0.14019839838147163,0.015664000064134598,25.008440017700195,0.023484230041503906e-05
